index,text,emotion,number_of_words_title,emotion_test
365,The future of healthcare chatbots: Advances and challenges in AI-driven virtual assistants,joy,16,neutral
366,Is artificial intelligence a threat to journalism or will the technology destroy itself?,fear,16,fear
367,This Woman Has Married An AI Chatbot She Created – And She Says It Is The Perfect Husband,surprise,21,surprise
368,Charting the future of AI in education: Henry County schools explore innovative classroom policies,fear,16,fear
369,AI Crypto Render Network (RNDR) Launches Incentive Program,joy,10,neutral
370,"Beyond the White House's Executive Order, Agencies Respond to AI",surprise,15,surprise
371,"An artificial intelligence lesson: Gpt-4, the promises of plugins and ...",joy,16,neutral
372,Salesforce's generative AI revolution: Transforming business ...,joy,10,neutral
373,The Impact of Artificial Intelligence on Vulnerable Populations in the ...,joy,16,neutral
374,Is Nvidia Losing Artificial Intelligence (AI) Customers to Intel?,surprise,13,surprise
375,Google's medical chatbot with artificial intelligence is already ...,joy,12,neutral
376,"OpenAI, Other AI Firms Not Yet Ready for IPOs",surprise,11,surprise
377,E-News | Attend discussion on education and artificial intelligence,fear,12,fear
378,HKU launches AI chatbot to train medical students,joy,12,neutral
379,AI managed specialist company 'Cognet Nine' combines HyperclovaX with LLM... Company...,joy,15,neutral
380,Siri’s AI to Receive a Boost Through Language Models in iOS 18,joy,14,neutral
381,Anthropic Launches Paid Generative AI Chatbot Claude Pro,joy,10,neutral
382,How AI chatbots like ChatGPT or Bard work – visual explainer,surprise,14,surprise
383,Reducing AI Anxiety Starts by Talking with Students,love,11,neutral
384,Alibaba's Ant Receives Chinese Government Nod to Roll Out AI ...,joy,14,neutral
